f1,f2,f3,f4,f5,f6,f7,f8,m_or_b
2,2,1,2,4,3,2,13,0
1,4,4,2,7,6,3,11,0
3,3,1,2,3,2,2,11,0
2,4,1,2,0,0,0,2,0
1,3,7,2,11,10,7,20,0
2,0,2,3,0,0,2,0,0
8,20,16,4,12,11,8,50,0
1,1,1,2,1,1,0,0,0
1,0,0,0,0,0,0,0,0
2,3,2,2,4,3,2,7,0
2,4,2,2,7,6,5,22,0
2,5,6,5,7,6,7,16,0
3,6,7,2,7,6,6,43,0
1,1,1,2,1,1,0,2,0
8,12,5,2,9,8,10,49,0
1,0,2,2,2,1,0,0,0
2,3,1,2,5,4,6,10,0
2,3,3,3,3,2,2,8,0
1,7,1,2,8,7,6,14,0
1,2,1,2,4,3,2,12,0
1,5,4,4,5,4,2,0,0
1,0,4,2,0,0,2,2,0
2,4,2,2,11,10,7,8,0
5,7,6,2,5,4,4,38,0
2,4,7,2,8,7,10,26,0
2,3,3,2,3,2,4,15,0
3,5,3,2,4,3,4,8,0
2,7,3,2,10,9,10,73,0
1,0,1,2,0,0,0,0,0
1,0,1,0,0,0,0,0,0
3,4,3,3,8,7,7,18,0
4,3,2,2,3,3,1,6,0
2,1,2,1,2,1,2,0,0
2,0,1,2,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,4,1,7,4,3,3,16,0
2,5,1,2,3,2,4,40,0
3,6,19,7,7,6,9,47,0
1,0,2,2,0,0,1,0,0
4,3,3,2,4,3,2,9,0
3,4,1,2,3,3,4,4,0
3,2,2,2,0,0,1,0,0
2,1,4,2,4,3,2,13,0
6,5,17,4,5,4,3,0,0
2,2,1,2,3,2,2,21,0
4,4,1,2,4,3,3,16,0
1,1,6,5,2,2,5,12,0
3,4,1,2,10,9,7,22,0
2,3,2,2,4,3,5,17,0
1,2,1,2,3,2,1,4,0
1,1,1,2,1,1,0,2,0
1,4,3,2,4,3,4,28,0
4,3,4,2,4,3,2,2,0
7,10,7,5,9,8,9,34,0
10,10,6,5,12,11,8,86,0
4,2,4,2,5,4,6,35,0
1,12,7,7,10,9,4,4,0
2,0,2,2,0,0,0,0,0
1,7,3,2,6,5,5,26,0
2,4,6,2,8,7,6,23,0
1,0,1,2,0,0,0,0,0
2,6,14,9,5,4,6,10,0
2,4,4,2,11,10,6,24,0
4,4,31,2,6,5,7,39,0
2,0,3,3,1,1,0,0,0
2,0,1,2,0,0,1,0,0
5,7,6,2,5,4,4,38,0
1,2,4,3,3,2,2,0,0
1,3,4,3,17,16,10,11,0
3,2,1,2,3,3,0,0,0
2,3,11,5,3,2,4,0,0
4,3,4,2,3,2,4,11,0
4,3,5,2,3,2,2,11,0
9,9,42,8,13,12,11,69,0
1,3,12,6,5,4,5,10,0
4,4,1,2,3,2,6,16,0
1,6,13,8,5,4,9,14,0
1,2,1,2,2,2,2,20,0
1,1,1,2,3,2,4,11,0
6,5,1,2,5,4,1,2,0
3,3,1,2,3,2,2,11,0
1,0,22,0,0,0,0,0,0
2,4,18,2,3,2,5,16,0
6,16,19,2,7,7,5,31,0
3,4,1,2,5,4,4,17,0
4,24,9,5,12,11,3,6,0
2,0,1,2,0,0,0,4,0
3,3,1,2,4,3,3,8,0
7,9,5,5,5,4,6,44,0
3,9,12,6,7,6,82,36,0
1,3,26,2,4,3,4,24,0
4,14,1,2,9,8,8,12,0
2,0,0,0,0,0,0,0,0
1,8,3,3,3,3,3,0,0
2,2,3,2,4,3,6,11,0
2,7,4,2,7,6,5,26,0
4,3,1,2,3,2,2,11,0
5,7,5,2,10,9,6,19,0
6,9,7,2,10,9,7,32,0
2,1,3,2,0,0,1,0,0
7,12,105,6,8,7,8,52,0
4,4,4,2,4,3,3,18,0
2,1,1,2,4,3,2,11,0
1,0,1,0,0,0,0,0,0
1,2,1,4,6,5,4,9,0
5,8,20,6,5,4,7,13,0
7,9,5,5,5,4,6,44,0
4,4,3,2,5,4,3,22,0
6,10,32,5,8,7,7,55,0
4,6,17,2,6,5,4,35,0
7,9,7,4,7,6,3,0,0
6,9,4,2,9,8,9,28,0
3,6,2,2,7,6,6,0,0
2,7,3,2,10,9,9,32,0
2,13,16,3,6,5,6,10,0
8,9,17,3,7,6,7,55,0
3,2,5,2,4,3,3,6,0
2,5,1,4,9,8,8,26,0
1,3,4,2,2,2,3,5,0
5,7,50,9,6,5,6,26,0
2,2,2,2,3,2,3,19,0
1,1,2,2,2,2,0,0,0
8,6,6,6,6,5,5,40,0
2,2,1,2,9,8,8,45,0
3,2,5,2,3,2,1,0,0
1,1,1,2,1,1,1,0,0
3,4,12,2,5,5,7,6,0
4,7,8,5,7,6,7,23,0
1,5,1,2,7,6,6,15,0
1,0,1,2,1,0,2,10,0
2,4,9,2,5,4,4,16,0
1,0,1,3,1,1,1,0,0
1,3,10,2,1,1,1,13,0
4,5,5,3,5,4,5,18,0
4,3,4,3,3,3,2,4,0
1,5,6,6,4,3,5,6,0
2,3,1,2,5,4,7,48,0
4,4,11,2,3,3,3,2,0
5,5,1,2,9,9,7,0,0
2,4,1,2,3,2,3,555,0
3,8,20,4,5,5,6,12,0
1,1,1,2,13,12,8,50,0
2,5,1,2,8,7,8,55,0
2,2,4,2,3,2,3,21,0
1,4,6,2,10,9,3,0,0
3,5,1,2,5,4,4,20,0
1,4,1,2,6,5,6,29,0
5,9,29,8,6,5,6,58,0
5,9,3,2,10,9,8,48,0
2,1,2,2,1,1,0,3,0
1,0,3,2,0,0,0,0,0
1,2,2,2,0,0,1,0,0
8,17,37,10,9,8,6,21,0
8,6,4,2,4,3,5,100,0
1,5,20,7,8,7,8,21,0
3,4,5,2,10,9,7,22,0
1,1,5,2,0,0,0,0,0
1,0,1,2,0,0,0,0,0
2,3,2,2,5,4,2,22,0
4,16,7,4,5,4,1,0,0
2,4,4,2,5,4,4,21,0
6,14,12,3,6,5,4,25,0
2,3,6,3,6,5,7,38,0
1,2,2,4,2,2,2,23,0
2,1,8,4,1,1,2,0,0
1,3,8,2,6,5,5,19,0
5,6,1,2,4,3,3,8,0
4,3,1,2,1,1,0,2,0
2,3,1,2,4,3,3,11,0
7,10,5,2,10,9,6,16,0
1,1,1,2,1,1,0,2,0
3,2,1,2,4,3,2,11,0
6,5,18,3,3,3,3,5,0
6,10,37,5,7,6,7,63,0
1,1,4,3,2,2,4,4,0
1,2,1,2,1,1,2,0,0
1,7,3,2,6,5,5,26,0
6,9,24,2,6,5,6,2,0
1,3,10,6,4,3,3,8,0
1,5,1,2,4,3,4,3,0
2,1,9,4,3,2,2,13,0
3,3,5,6,4,3,6,319,0
2,1,1,2,1,1,0,0,0
1,1,1,2,3,2,2,11,0
1,1,15,3,2,1,2,27,0
1,0,1,0,1,1,1,0,0
3,3,5,5,3,2,4,52,0
4,4,6,2,3,2,3,17,0
1,7,5,5,6,5,4,0,0
2,2,4,4,3,2,2,19,0
2,0,1,2,0,0,1,0,0
3,2,1,2,3,2,2,13,0
2,1,5,3,1,1,0,0,0
2,6,1,2,8,7,8,9,0
5,8,6,3,6,5,6,12,0
1,2,6,2,4,3,2,16,0
1,2,14,6,4,3,4,17,0
1,2,1,2,2,2,1,3,0
9,8,10,2,7,6,3,10,0
4,5,5,2,10,9,6,42,0
1,1,3,2,4,3,2,11,0
6,9,24,2,6,5,6,2,0
1,1,3,0,3,2,3,31,0
3,2,1,2,3,2,2,11,0
1,1,3,2,5,4,4,6,0
3,3,2,3,5,4,5,3,0
6,7,5,2,8,7,7,0,0
3,5,13,3,10,9,9,9,0
1,1,2,4,0,0,0,0,0
2,0,8,2,0,0,0,0,0
1,2,2,2,3,2,2,19,0
1,2,3,5,3,2,3,2,0
2,0,1,2,0,0,2,3,0
2,4,2,3,1,1,2,7,0
3,6,8,4,4,3,1,14,0
3,3,2,4,5,4,4,8,0
2,13,25,21,9,8,8,113,0
1,1,1,2,1,1,0,0,0
3,7,10,3,9,8,9,7,0
1,5,5,5,5,4,3,0,0
1,0,1,2,0,0,0,0,0
3,6,20,2,6,6,3,3,0
1,1,4,2,1,1,7,0,0
2,2,2,2,1,1,3,9,0
1,1,3,2,6,5,8,9,0
3,7,6,2,8,7,7,11,0
3,5,6,3,6,5,5,2,0
2,0,2,2,0,0,2,0,0
4,5,3,3,5,4,7,4,0
2,2,2,2,2,2,2,0,0
1,2,4,2,5,4,1,11,0
2,7,4,7,10,9,10,77,0
1,2,4,2,5,4,5,14,0
4,6,2,2,7,6,7,4,0
5,8,1,2,8,7,8,20,0
2,5,4,12,7,6,9,14,0
1,2,2,2,3,2,6,10,0
1,14,14,10,7,6,4,6,0
1,0,0,2,0,0,1,2,0
1,4,2,2,6,5,4,23,0
1,2,6,2,3,2,4,16,0
2,1,2,2,3,2,2,10,0
3,3,1,2,1,1,3,0,0
2,3,4,2,5,4,3,11,0
2,0,5,2,0,0,0,0,0
2,3,2,2,6,5,2,2,0
3,5,7,3,4,3,3,19,0
2,3,2,2,4,4,7,32,0
2,3,2,2,4,3,6,20,0
4,3,1,2,2,2,1,3,0
1,1,7,3,1,1,0,2,0
2,2,3,3,3,2,4,6,0
2,4,7,2,5,4,9,44,0
3,2,2,2,3,3,2,0,0
1,2,7,5,3,2,3,11,0
4,7,1,2,7,6,7,4,0
1,2,4,2,2,2,5,6,0
2,5,5,6,3,2,2,0,0
1,2,2,6,2,2,2,4,0
9,13,3,5,13,12,8,26,0
2,1,2,0,3,2,2,11,0
3,5,13,3,10,9,9,9,0
2,5,1,2,1,1,0,2,0
1,1,1,2,1,1,0,2,0
3,4,3,2,3,3,1,0,0
1,4,1,2,5,4,3,19,0
1,4,1,2,8,7,7,25,0
1,3,2,2,2,2,3,10,0
1,4,6,2,10,9,3,0,0
2,0,4,2,1,1,1,0,0
3,2,3,2,4,3,2,11,0
0,2,3,3,3,2,4,6,0
7,8,11,3,7,6,5,18,0
1,0,1,2,0,0,0,0,0
1,2,3,4,3,3,3,4,0
2,4,1,2,2,2,3,34,0
1,0,2,0,0,0,0,0,0
2,5,3,6,3,3,2,0,0
5,8,33,6,9,8,5,8,0
2,4,1,2,1,0,1,10,0
2,3,8,2,6,5,5,17,0
2,4,4,2,5,4,7,24,0
1,0,2,2,0,0,1,0,0
2,1,1,2,1,1,2,5,0
3,2,21,2,3,2,2,11,0
1,1,2,2,1,1,0,2,0
2,4,1,2,4,3,4,19,0
1,2,2,2,2,2,2,3,0
4,9,14,4,10,9,9,16,0
1,1,4,2,2,1,1,17,0
1,7,2,5,6,5,4,0,0
2,2,1,2,5,4,3,11,0
2,1,3,2,4,3,2,11,0
8,12,23,9,9,8,10,129,0
1,1,2,2,1,1,0,6,0
5,7,1,2,5,4,7,19,0
1,4,3,2,5,4,5,9,0
1,2,3,2,3,2,4,11,0
6,4,1,2,4,3,5,27,0
6,9,24,2,5,4,6,2,0
1,0,1,2,1,1,1,0,0
4,4,5,2,7,6,7,28,0
4,11,4,4,9,9,7,4,0
1,1,2,2,0,0,1,0,0
1,1,3,2,3,2,3,11,0
1,3,2,2,2,2,2,5,0
2,0,2,2,2,1,0,2,0
2,1,1,3,4,3,1,0,0
4,1,1,2,2,2,1,0,0
1,11,6,4,4,3,4,10,0
2,2,15,6,6,5,2,16,0
1,3,3,2,5,4,6,0,0
2,1,2,2,1,1,0,3,0
1,2,1,2,3,2,3,6,0
2,3,1,2,6,5,6,26,0
3,7,3,2,9,8,9,21,0
1,1,4,2,1,1,0,13,0
4,11,4,4,9,9,7,4,0
6,3,2,2,3,2,2,11,0
5,5,2,2,8,7,6,12,0
2,8,12,2,7,6,2,11,0
1,3,3,2,3,2,4,4,0
2,19,41,6,12,11,10,22,0
4,3,3,4,1,1,1,0,0
6,14,8,5,15,14,5,0,0
1,3,3,5,3,2,3,6,0
10,12,2,3,7,7,6,2,0
2,1,6,2,1,1,2,6,0
5,11,6,5,10,9,11,29,0
6,5,1,3,2,1,0,7,0
4,3,5,2,3,2,2,11,0
1,2,2,2,6,5,7,6,0
7,11,32,2,6,5,4,19,0
3,6,1,2,7,7,6,12,0
4,2,4,2,5,4,5,33,0
1,3,4,2,4,3,5,16,0
2,2,1,2,3,2,5,10,0
3,9,5,3,8,7,9,38,0
2,2,7,2,1,1,3,4,0
8,6,3,2,6,5,4,36,0
2,3,3,3,4,3,3,0,0
5,8,5,4,6,5,6,15,0
6,8,4,3,8,7,4,185,0
2,5,13,6,4,3,3,9,0
2,2,1,2,5,4,6,6,0
1,2,2,2,5,4,5,8,0
1,2,1,2,3,2,2,12,0
1,5,1,2,7,6,6,15,0
1,4,2,4,2,2,0,4,0
2,6,5,2,9,8,5,57,0
1,3,2,2,3,2,18,7,0
3,4,2,2,10,9,7,22,0
3,4,6,2,10,9,7,24,0
2,1,3,3,1,1,1,0,0
5,7,4,4,5,4,2,11,0
6,5,8,2,4,3,7,16,0
2,4,1,2,8,7,9,31,0
2,4,2,2,5,4,3,6,0
2,9,7,6,9,8,5,24,0
3,7,6,3,9,8,9,37,0
2,1,1,2,3,2,3,17,0
2,4,1,2,5,4,5,6,0
1,0,1,2,1,0,2,22,0
3,4,5,2,6,5,6,0,0
3,7,4,2,6,5,4,17,0
2,4,1,2,3,2,5,17,0
2,0,1,2,0,0,0,0,0
4,5,6,4,3,2,6,23,0
2,2,4,4,2,2,3,0,0
2,4,5,2,10,9,6,15,0
1,26,38,16,19,18,9,61,0
5,5,3,2,5,4,2,17,0
2,5,7,2,10,9,9,38,0
5,5,19,5,5,4,5,87,0
5,5,8,2,5,4,3,2,0
1,6,5,6,4,3,4,73,0
1,4,1,2,6,5,6,29,0
4,2,1,2,2,2,2,2,0
2,2,1,2,2,2,1,2,0
1,2,2,2,3,2,3,26,0
2,4,3,2,4,3,5,17,0
4,3,1,2,2,2,1,20,0
2,5,1,2,6,5,5,22,0
3,5,1,2,0,0,1,0,0
2,5,6,3,6,5,5,26,0
1,5,3,2,13,12,11,48,0
1,0,1,2,1,0,1,2,0
1,2,4,4,2,2,2,4,0
6,16,9,6,12,11,16,104,0
2,5,2,3,4,4,3,0,0
4,8,10,2,9,8,11,20,0
6,7,8,4,4,3,6,6,0
1,0,1,2,0,0,1,2,0
3,9,12,6,7,6,82,36,0
1,1,1,2,1,1,1,2,0
4,5,1,2,5,4,5,39,0
1,3,2,2,2,2,2,0,0
5,7,1,2,2,2,2,0,0
2,7,4,2,7,6,5,26,0
1,0,0,0,0,0,0,0,0
2,3,3,2,8,7,7,24,0
1,0,2,2,1,1,2,0,0
2,6,5,8,5,4,4,29,0
1,0,1,2,1,1,2,0,0
5,7,2,2,10,9,7,45,0
4,5,1,4,4,3,1,3,0
4,5,1,2,5,4,3,15,0
2,3,3,3,2,2,3,0,0
1,2,1,2,2,2,1,2,0
1,1,2,0,1,1,1,0,0
3,6,1,2,6,5,3,6,0
4,3,14,3,3,2,4,21,0
6,9,5,2,9,8,9,28,0
2,5,4,2,5,4,7,15,0
5,5,1,3,3,3,1,2,0
1,5,2,4,4,3,6,0,0
4,4,10,2,6,5,3,11,0
3,5,1,2,5,4,7,11,0
1,0,0,1,0,0,0,0,0
4,5,3,4,8,7,6,4,0
1,1,3,2,3,2,4,11,0
2,4,2,2,4,4,1,0,0
1,1,9,2,0,0,0,0,0
6,9,1,2,6,5,3,6,0
3,3,2,2,4,3,3,19,0
1,2,4,2,3,3,6,2,0
5,5,3,2,4,3,2,12,0
1,5,1,2,7,6,6,15,0
5,4,5,2,6,5,3,10,0
1,3,7,6,4,3,6,21,0
1,0,1,2,0,0,0,0,0
5,3,3,2,5,4,3,14,0
2,4,9,6,4,3,4,2,0
1,4,2,2,7,6,6,5,0
5,15,27,11,11,10,5,11,0
2,4,3,2,1,1,3,0,0
3,3,8,3,4,3,2,19,0
2,4,6,2,6,5,5,33,0
1,6,3,2,6,5,5,26,0
4,4,7,2,4,3,3,22,0
2,4,3,2,6,5,5,24,0
8,14,17,2,6,5,7,43,0
1,1,2,2,1,1,1,3,0
2,5,3,3,5,4,3,19,0
1,6,4,2,10,9,8,31,0
3,7,4,2,6,5,4,17,0
3,4,4,2,5,4,4,6,0
5,4,19,2,4,3,5,38,0
3,5,13,2,9,8,7,23,0
2,7,9,4,11,10,9,30,0
2,1,3,2,3,2,2,11,0
4,4,3,2,7,6,7,44,0
8,23,21,4,12,11,6,2,0
9,8,8,2,7,6,3,8,0
2,1,6,2,3,2,1,0,0
7,9,5,5,5,4,6,44,0
3,0,3,2,0,0,0,0,0
2,3,2,2,3,3,4,4,0
7,9,14,4,7,6,8,6,0
2,4,4,2,11,10,7,21,0
1,0,2,4,0,0,2,0,0
3,2,2,2,5,4,2,6,0
6,12,9,6,12,11,8,50,0
6,9,10,4,6,5,6,41,0
1,1,1,2,1,1,1,2,0
2,0,3,2,0,0,0,0,0
2,2,2,2,3,2,3,6,0
2,3,11,6,4,3,4,2,0
2,3,1,2,5,4,3,6,0
2,3,1,2,3,2,1,3,0
3,6,3,3,4,3,5,4,0
2,3,2,2,7,6,2,11,0
5,7,6,2,5,4,4,38,0
1,3,4,7,2,2,3,0,0
7,9,5,5,4,3,3,33,0
2,6,5,2,8,7,9,14,0
6,10,11,6,7,6,11,64,0
1,1,2,2,1,0,2,0,0
1,1,4,2,1,1,0,8,0
3,2,6,2,2,2,1,2,0
4,2,1,2,2,1,3,2,0
6,9,24,2,6,5,6,2,0
5,6,3,2,6,5,7,12,0
1,0,4,2,1,0,1,0,0
1,2,1,2,3,2,3,8,0
2,2,6,2,4,3,2,14,0
5,5,7,4,5,4,6,72,0
1,1,3,2,3,2,4,11,0
4,3,2,3,2,1,1,2,0
6,9,1,2,7,6,8,4,0
5,4,1,2,3,3,3,2,0
2,2,1,2,4,3,3,16,0
2,3,5,2,4,3,2,19,0
7,9,5,5,5,4,6,44,0
1,3,2,3,4,3,2,19,0
8,14,2,5,9,9,7,0,0
1,2,1,2,2,2,1,6,0
2,6,4,2,8,7,7,33,0
6,10,37,5,7,6,7,63,0
5,9,2,2,7,6,10,44,0
2,2,5,3,4,3,3,6,0
9,8,10,2,7,6,3,10,0
1,0,1,2,0,0,0,2,0
2,2,3,2,4,3,2,11,0
6,10,37,5,7,6,7,63,0
1,1,1,2,13,12,8,44,0
2,1,1,2,1,1,4,0,0
1,2,1,2,3,2,2,21,0
1,7,8,7,10,9,4,18,0
2,4,19,3,6,5,6,21,0
1,0,1,2,0,0,0,0,0
1,6,5,4,10,9,8,16,0
1,2,1,2,2,2,1,0,0
8,12,1,2,9,9,7,0,0
4,7,3,2,5,4,3,13,0
7,6,21,2,6,5,4,31,0
2,7,4,2,7,6,5,26,0
1,0,0,2,0,0,0,0,0
2,1,22,5,3,2,5,51,0
2,2,1,3,4,3,3,40,0
1,0,2,2,0,0,0,3,0
1,2,2,2,0,0,1,0,0
4,10,11,2,10,9,3,0,0
2,2,1,2,2,2,1,4,0
2,6,5,2,5,4,2,5,0
4,7,5,3,12,11,9,43,0
2,2,2,2,3,3,3,7,0
2,4,10,2,4,3,8,29,0
5,3,2,2,3,2,2,11,0
1,2,1,2,13,12,8,45,0
1,2,2,2,3,2,2,25,0
1,1,1,2,3,2,4,8,0
2,2,4,2,3,2,2,4,0
2,2,2,2,4,3,3,8,0
1,2,8,3,2,1,3,6,0
2,11,38,6,7,6,6,32,0
5,9,3,2,6,5,3,19,0
4,7,2,2,9,8,8,9,0
2,4,5,2,6,5,10,9,0
1,2,2,2,7,6,4,22,0
1,0,1,2,0,0,0,2,0
1,0,7,2,0,0,1,0,0
3,0,3,3,1,1,3,0,0
1,3,2,3,4,3,2,19,0
1,2,1,2,2,2,2,3,0
1,1,1,2,1,1,1,2,0
2,3,1,2,2,2,3,6,0
4,8,21,7,9,8,10,51,0
5,11,66,2,8,7,7,27,0
2,3,4,2,5,4,3,15,0
1,1,0,2,1,1,1,0,0
1,3,1,2,13,12,8,42,0
1,1,1,2,13,12,8,47,0
2,5,9,2,5,4,3,33,0
6,10,30,12,12,11,6,25,0
2,4,5,5,4,3,2,3,0
1,1,1,2,3,2,2,9,0
3,2,1,2,4,3,1,9,0
1,0,1,2,0,0,1,0,0
2,3,2,2,5,4,8,28,0
1,1,7,2,1,1,4,6,0
6,9,24,2,6,5,6,2,0
1,3,8,5,4,3,5,4,0
3,7,3,3,9,8,8,41,0
1,0,1,2,1,1,1,0,0
5,7,4,2,4,3,3,16,0
1,4,9,2,3,2,3,22,0
1,6,3,2,7,6,6,23,0
5,6,3,5,10,9,9,49,0
6,7,4,3,9,8,9,58,0
4,5,3,2,6,5,4,4,0
2,5,14,2,8,7,9,49,0
3,2,1,2,2,2,1,0,0
5,7,1,4,6,5,4,9,0
2,2,1,2,5,4,3,28,0
4,3,3,2,2,2,2,0,0
2,3,17,2,4,3,3,10,0
3,3,5,2,3,2,2,23,0
9,14,8,2,15,14,9,88,0
1,2,1,2,2,2,2,0,0
2,2,1,2,4,3,3,4,0
2,2,1,2,3,2,3,8,0
1,3,9,2,4,4,7,4,0
2,4,2,3,4,3,4,0,0
5,5,17,2,6,5,3,8,0
5,6,3,2,8,7,6,22,0
1,1,3,2,3,2,2,11,0
4,5,1,2,4,3,3,9,0
3,8,6,4,7,6,3,4,0
1,2,5,5,2,2,1,6,0
1,3,5,3,4,3,8,6,0
2,4,1,2,5,5,2,4,0
5,7,1,2,5,4,7,19,0
1,2,2,2,3,2,3,20,0
2,0,9,2,1,1,0,2,0
1,0,2,2,0,0,2,0,0
2,17,12,8,11,10,6,15,0
3,5,6,2,4,4,6,4,0
2,1,1,2,0,0,1,8,0
1,1,3,2,3,2,3,11,0
5,5,13,2,5,4,3,0,0
4,5,1,2,5,4,2,14,0
3,5,1,2,6,5,3,6,0
1,5,4,5,8,7,7,55,0
1,4,8,5,3,2,6,2,0
4,4,13,2,6,5,3,30,0
3,3,4,2,5,4,4,2,0
5,9,4,2,4,4,2,2,0
2,6,5,8,5,4,4,29,0
1,0,0,0,0,0,0,0,0
1,2,3,2,4,3,2,11,0
2,1,1,2,1,0,1,2,0
2,3,11,2,4,3,4,10,0
1,2,1,2,2,2,1,2,0
2,3,3,2,3,2,3,2,0
6,15,6,8,8,7,9,5,0
1,0,2,2,0,0,0,2,0
2,8,16,7,4,3,6,101,0
1,0,1,2,0,0,0,0,0
2,2,2,2,6,5,8,32,0
6,6,1,2,3,2,2,31,0
7,6,1,3,5,4,5,33,0
1,2,9,4,2,1,5,0,0
2,2,1,2,4,3,3,2,0
2,5,1,2,9,8,9,14,0
2,2,1,2,3,2,3,8,0
1,2,1,2,5,4,4,28,0
6,8,1,2,13,12,8,45,0
1,0,3,4,1,1,0,0,0
2,2,2,2,6,5,5,8,0
4,8,8,2,8,7,4,14,0
1,0,1,2,0,0,0,0,0
4,2,1,2,4,3,2,9,0
1,2,6,4,4,3,3,13,0
1,2,2,2,3,2,4,31,0
1,6,3,2,6,5,5,26,0
1,2,4,2,4,3,4,13,0
2,3,2,2,3,2,1,8,0
1,5,6,0,6,5,2,2,0
1,0,1,2,0,0,0,0,0
1,3,1,2,4,3,3,217,0
5,6,18,2,11,10,7,17,0
1,0,2,2,0,0,0,0,0
1,1,4,6,3,2,2,11,0
3,5,3,2,6,5,6,10,0
1,1,1,2,1,1,1,0,0
2,3,6,2,3,2,5,10,0
1,2,2,2,3,2,2,19,0
4,2,3,2,4,3,2,11,0
1,0,1,0,0,0,2,0,0
1,2,1,2,2,2,3,5,0
5,7,8,2,7,6,6,8,0
2,0,1,3,1,1,2,0,0
6,16,26,13,12,11,10,76,0
5,5,4,2,6,5,7,43,0
1,3,2,2,2,2,1,2,0
3,28,44,13,13,12,11,34,0
2,1,2,2,1,1,2,5,0
1,1,6,2,0,0,2,0,0
6,10,1,4,9,8,5,23,0
1,1,2,2,1,1,1,2,0
6,9,7,2,9,8,11,64,0
1,2,1,2,3,2,3,6,0
6,10,37,5,7,6,7,63,0
1,1,1,2,9,9,7,0,0
1,1,1,2,13,12,8,42,0
1,7,2,5,6,5,4,0,0
2,1,1,2,1,1,1,2,0
5,8,14,5,7,6,2,16,0
2,5,1,2,3,2,3,2,0
1,1,6,4,3,2,4,40,0
3,5,21,4,8,7,7,55,0
4,11,5,4,6,5,4,13,0
4,4,5,2,5,4,5,18,0
1,3,4,2,3,2,1,2,0
2,1,2,3,0,0,0,0,0
4,9,30,2,11,10,9,50,0
8,12,7,2,9,8,10,52,0
2,12,7,5,7,6,6,0,0
1,0,1,2,1,1,0,0,0
1,2,2,2,1,1,2,0,0
5,5,1,2,5,4,7,57,0
5,3,18,2,5,4,4,28,0
8,12,23,9,9,8,10,121,0
4,8,16,5,7,6,9,77,0
8,6,12,2,5,4,6,94,0
1,1,1,2,1,1,1,0,0
6,7,2,2,6,5,7,29,0
1,2,1,2,3,2,2,19,0
2,5,2,2,4,4,5,4,0
1,4,8,4,7,6,8,70,0
8,11,10,15,10,9,8,45,0
1,1,1,2,1,1,0,2,0
4,6,13,2,7,6,6,27,0
1,1,1,2,1,1,0,2,0
1,2,1,2,1,1,0,2,0
1,2,5,2,3,2,2,12,0
1,4,1,2,4,3,2,11,0
4,4,4,2,4,3,2,15,0
2,3,6,2,4,3,4,10,0
2,5,20,6,7,6,6,39,0
5,4,1,2,9,8,8,84,0
3,3,4,4,6,5,3,2,0
1,1,2,2,1,1,1,0,0
1,4,3,2,4,3,3,11,0
2,1,2,2,1,1,0,3,0
1,4,6,4,6,5,5,13,0
1,0,1,2,1,1,0,0,0
1,1,1,2,2,2,0,5,0
5,8,5,2,11,10,7,43,0
8,10,54,2,6,5,9,65,0
4,2,4,4,3,2,2,0,0
2,2,1,2,1,1,2,0,0
9,8,10,2,7,6,3,10,0
2,3,4,7,6,5,4,13,0
2,4,3,2,7,6,6,39,0
4,4,1,2,5,4,2,13,0
1,1,1,2,4,3,3,11,0
1,2,9,5,5,4,4,20,0
5,6,2,2,4,3,4,8,0
2,8,2,2,6,5,6,25,0
2,3,3,2,6,5,5,6,0
8,9,7,2,6,6,7,12,0
2,3,2,2,2,2,2,0,0
6,6,1,2,5,4,3,9,0
1,3,3,2,3,2,4,11,0
2,1,2,2,1,1,0,3,0
2,5,9,2,5,4,3,33,0
2,2,4,2,5,4,4,21,0
2,0,2,2,2,2,0,0,0
1,2,9,2,3,2,3,575,0
2,8,8,3,12,11,10,61,0
6,10,32,5,8,7,7,55,0
1,2,1,2,4,3,3,6,0
7,9,5,5,4,3,3,33,0
1,2,1,2,4,3,2,10,0
1,5,20,6,3,2,1,0,0
1,2,15,5,2,1,5,12,0
1,1,4,2,2,1,0,2,0
6,9,21,5,7,6,8,27,0
1,5,5,5,5,4,2,0,0
1,0,1,2,0,0,1,0,0
3,8,5,2,10,9,5,13,0
1,0,11,3,0,0,0,3,0
2,5,4,2,7,6,5,11,0
4,4,5,3,4,3,4,10,0
2,2,5,4,2,2,1,0,0
2,3,7,2,3,2,3,6,0
2,1,1,2,1,1,1,0,0
2,0,1,2,0,0,0,0,0
1,2,5,2,3,2,4,8,0
6,10,32,5,8,7,7,55,0
1,13,23,15,13,12,2,13,0
1,0,2,2,1,1,0,3,0
2,0,1,2,0,0,0,0,0
3,7,6,2,8,7,10,61,0
1,5,9,2,6,5,4,2,0
2,4,6,2,7,6,8,30,0
2,1,1,2,1,1,0,25,0
1,1,1,2,3,2,4,8,0
1,1,1,1,0,0,1,0,0
2,2,1,3,5,4,3,6,0
2,0,2,2,1,1,0,0,0
2,4,8,2,6,5,5,10,0
1,2,2,2,4,3,5,20,0
1,2,1,2,1,1,0,2,0
6,9,10,3,10,9,12,111,0
6,11,9,2,10,9,10,132,0
3,1,10,3,1,1,3,0,0
1,0,2,2,1,1,0,0,0
2,5,4,2,6,5,6,8,0
2,5,6,5,7,6,5,10,0
10,17,37,7,13,12,11,127,0
1,3,2,2,8,7,6,19,0
3,4,7,3,4,3,2,0,0
6,16,9,3,10,9,9,14,0
